,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_ALT_RESP,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,MISC_COURSE_DETAILS,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,ADDTL_LIC,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE,REQUIREMENT_SET_TEXT,REQUIREMENT_SUBSET_TEXT,REQUIREMENT_CONJUNCTION
10,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,Administrative Hearing Examiner,9135,1,-,"An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.",-,-,-,2.0,full time,Management Assistant Or Management Aide,-,"interpreting and applying State and Federal regulations, City ordinances, the City Administrative Code and/or the City Charte",-,-,-,-,P,-,-,OPEN_INT_PROM,"$54,726 to $80,012",-,10-09-15,"Two years of full-time paid experience with the City of Los Angeles as a Management Assistant or Management Aide interpreting and applying State and Federal regulations, City ordinances, the City Administrative Code and/or the City Charter; or",-,or
11,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,Administrative Hearing Examiner,9135,2,-,"An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.",-,-,-,2.0,full time,Senior Traffic Supervisor,-,-,-,-,-,-,P,-,-,OPEN_INT_PROM,"$54,726 to $80,012",-,10-09-15,Two years of full-time paid experience with the City of Los Angeles as a Senior Traffic Supervisor; or,-,or
12,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,Administrative Hearing Examiner,9135,3,-,"An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.",-,-,-,2.0,full time,Transportation Investigator,"conducting administrative hearings on appeals, interviewing respondents and witnesses, and preparing written decisions based upon findings;",-,-,-,-,-,P,-,-,OPEN_INT_PROM,"$54,726 to $80,012",-,10-09-15,"Two years of full-time paid experience with the City of Los Angeles as a Transportation Investigator or in a class at that level conducting administrative hearings on appeals, interviewing respondents and witnesses, and preparing written decisions based upon findings; or",-,or
13,ADMINISTRATIVE HEARING EXAMINER 9135 100915.txt,Administrative Hearing Examiner,9135,4,-,"An Administrative Hearing Examiner conducts quasi-judicial administrative hearings on appeals on parking violation citations, adjudicates written declaration requests for reconsideration of parking violation citations, conducts vehicle impound hearings, and does related work.",-,-,-,-,-,Contract Administratve Hearing Examiner,-,-,-,-,-,-,P,-,-,OPEN_INT_PROM,"$54,726 to $80,012",-,10-09-15,520 hours of paid experience with the City of Los Angeles within the past two years from the date of filing as an exempt or contract Administratve Hearing Examiner.,-,-
14,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,Advance Practice Provider Correctional Care,2325,1,a,"An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.",-,-,-,-,-,Nurse Practitioner,-,-,-,-,-,"Registered Nurse and certified as a Nurse Practitioner by the California Board of Registered Nursing with documentation of education and training as a Nurse Practitioner in family practice, adult, or emergency medicine, and possess a current license, Furnishing Number, and a Drug Enforcement Administration registration number which provides the ability to provide drug/medication orders in the State of California;",-,-,-,OPEN,"$78,487 to $97,530",-,02-08-08,Must be licensed as a:,"Registered Nurse and certified as a Nurse Practitioner by the California Board of Registered Nursing with documentation of education and training as a Nurse Practitioner in family practice, adult, or emergency medicine, and possess a current license, Furnishing Number, and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; or",or
15,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,Advance Practice Provider Correctional Care,2325,1,b,"An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.",-,-,-,-,-,Physician Assistant,-,-,-,-,-,"Physician Assistant with documentation of education and training as a Physician Assistant in family practice, adult, or emergency medicine, and possess a current license and a Drug Enforcement Administration registration number which provides the ability to provide drug/medication orders in the State of California;",-,-,-,OPEN,"$78,487 to $97,530",-,02-08-08,Must be licensed as a:,"Physician Assistant with documentation of education and training as a Physician Assistant in family practice, adult, or emergency medicine, and possess a current license and a Drug Enforcement Administration (DEA) registration number which provides the ability to provide drug/medication orders in the State of California; and",and
16,ADVANCE PRACTICE PROVIDER CORRECTIONAL CARE 2325 020808 REV 111214.txt,Advance Practice Provider Correctional Care,2325,2,-,"An Advance Practice Provider Correctional Care is responsible for obtaining medical histories, performing physical examinations, ordering and interpreting diagnostic tests, assessing medical conditions, providing medical care and treatment, and performing related duties as required under standardized procedures and/or protocols established by the department in one of the City's correctional care facilities.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OPEN,"$78,487 to $97,530",-,02-08-08,"Must have a current, valid American Heart Association Healthcare Provider CPR card (Applicants must list the expiration date of their CPR card in the free-flowing text box on the application).",-,-
17,AIR CONDITIONING MECHANIC 3774 041417.txt,Air Conditioning Mechanic,3774,1,-,"An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.",-,apprenticeship,-,-,-,Refrigeration And Air Conditioning Fitter,-,-,-,-,-,-,R,-,-,OPEN_INT_PROM,"$90,118","$99,054",04-14-17,Completion of a recognized apprenticeship as a refrigeration and air conditioning fitter; or,-,or
18,AIR CONDITIONING MECHANIC 3774 041417.txt,Air Conditioning Mechanic,3774,2,-,"An Air Conditioning Mechanic installs, modifies, maintains, and repairs air-conditioning, refrigeration, heating, ventilating, and related equipment including control systems which may utilize electric, electronic, pneumatic or direct digital controls.",-,-,-,6.0,full time,-,-,"installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.",-,-,-,-,R,-,-,OPEN_INT_PROM,"$90,118","$99,054",04-14-17,"Six years of full-time paid experience installing, modifying, maintaining, and repairing air conditioning, refrigeration, heating, ventilating, and related equipment.",-,-
19,AIR CONDITIONING MECHANIC SUPERVISOR 3781 111618 2.txt,Air Conditioning Mechanic Supervisor,3781,1.,-,"An Air Conditioning Mechanic Supervisor assigns, reviews and evaluates the work of a crew engaged in the installation, modification, maintenance and repair of refrigeration, air conditioning, heating and ventilating equipment and related facilities; lays out and prepares cost estimates for new installations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",-,-,-,4.0,full time,Air Conditioning Mechanic,-,experience in working with one or more of the following controls: a. electric controls b. electronic controls c. pneumatic controls d. direct digital control systems e. energy management and building automation controls,-,-,-,-,R,-,-,INT_DEPT_PROM,"$103,841","$127,388 to $134,488",11-16-18,"Four years of full-time paid experience as an air conditioning mechanic or in a craft at the journey-level involved in the installation, modification, maintenance and repair of air conditioning, refrigeration, heating and ventilating equipment, two years of which must include experience working with one or more of the following controls: a. electric controls b. electronic controls c. pneumatic controls d. direct digital control systems e. energy management and building automation controls",-,-
20,AIRPORT AIDE 1540 081018.txt,Airport Aide,1540,1.,-,An Airport Aide provides services and transportation for visiting dignitaries and Airport officials and may supervise others assisting in such activities.,-,-,-,1.0,full time,Airport Guide,-,assisting executive management and/or elected officials.,-,-,-,-,-,-,-,INT_DEPT_PROM,"$43,242 to $63,203",-,08-10-18,One year of full-time paid experience as an Airport Guide with the Los Angeles World Airports assisting executive management and/or elected officials.,-,-
21,AIRPORT CHIEF INFORMATION SECURITY OFFICER 1404 120415_Modified.txt,Airport Chief Information Security Officer,1404,1,-,"Airport Chief Information Security Officer manages the design, development, implementation, operation and maintenance of all LAWA information security programs; protects the confidentiality, integrity, and availability of all voice, data network, application, network infrastructure and their associated information assets; creates a security-conscious culture through training and development; implements and maintains a security infrastructure based on policies and procedures; ensures compliance with applicable Federal, State, local laws and ordinances; and fulfills equal employment opportunity responsibilities.",4.0,college or university,-,-,-,-,-,-,-,-,-,-,-,-,-,OPEN_INT_PROM,"$125,551 to $183,576",-,12-04-15,A bachelor's degree from an accredited four-year college or university; and,-,and
22,AIRPORT CHIEF INFORMATION SECURITY OFFICER 1404 120415_Modified.txt,Airport Chief Information Security Officer,1404,2,-,"Airport Chief Information Security Officer manages the design, development, implementation, operation and maintenance of all LAWA information security programs; protects the confidentiality, integrity, and availability of all voice, data network, application, network infrastructure and their associated information assets; creates a security-conscious culture through training and development; implements and maintains a security infrastructure based on policies and procedures; ensures compliance with applicable Federal, State, local laws and ordinances; and fulfills equal employment opportunity responsibilities.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OPEN_INT_PROM,"$125,551 to $183,576",-,12-04-15,CISSP Certification (Certified Information Systems Security Professional); and,-,and
23,AIRPORT CHIEF INFORMATION SECURITY OFFICER 1404 120415_Modified.txt,Airport Chief Information Security Officer,1404,3,-,"Airport Chief Information Security Officer manages the design, development, implementation, operation and maintenance of all LAWA information security programs; protects the confidentiality, integrity, and availability of all voice, data network, application, network infrastructure and their associated information assets; creates a security-conscious culture through training and development; implements and maintains a security infrastructure based on policies and procedures; ensures compliance with applicable Federal, State, local laws and ordinances; and fulfills equal employment opportunity responsibilities.",-,-,-,4.0,full time,Systems Programmer Iii,-,"supervising in the area of planning, designing, implementing, and configuring a secure network infrastructure and/or mission-critical applications containing enterprise data.",-,-,-,-,-,-,-,OPEN_INT_PROM,"$125,551 to $183,576",-,12-04-15,"Four years of full-time paid experience at least at the level of Systems Programmer III working as a lead or supervising in the area of planning, designing, implementing, and configuring a secure network infrastructure and/or mission-critical applications containing enterprise data.",-,-
24,AIRPORT ENGINEER 7256 070618.txt,Airport Engineer,7256,1,-,"An Airport Engineer performs professional engineering work in the planning, design, construction, maintenance, and operation of landside facilities, structures, pavement and support systems at an airport; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",-,-,-,2.0,full time,Professional Engineer; Engineering Associate Iii,-,-,-,-,-,-,R,-,"professional engineer License, professional engineer License, PE License",OPEN_INT_PROM,"$105,005 to $153,509",-,07-06-18,"Two years of full-time paid professional experience at the level of Engineering Associate III in the areas of civil, structural, mechanical, electrical, or communication engineering in the design, construction, management or engineering of airport/aviation projects or programs; and a valid license as a Professional Engineer with the California State Board of Registration for Professional Engineer; or",-,or
25,AIRPORT ENGINEER 7256 070618.txt,Airport Engineer,7256,2,-,"An Airport Engineer performs professional engineering work in the planning, design, construction, maintenance, and operation of landside facilities, structures, pavement and support systems at an airport; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",-,-,-,5.0,full time,Professional Engineer,-,-,-,-,-,-,R,-,"professional engineer License, professional engineer License, PE License",OPEN_INT_PROM,"$105,005 to $153,509",-,07-06-18,"Five years of full-time paid professional experience (two years of which requiring a PE license to perform duties) in the areas of civil, structural, mechanical, electrical, or communication engineering in the design, construction, management or engineering of airport/aviation projects or programs and a valid license as a Professional Engineer with the California State Board of Registration for Professional Engineers.",-,-
26,AIRPORT GUIDE 0845 042018.txt,Airport Guide,0845,1.,-,An Airport Guide directs arriving passengers to appropriate lines or locations in and around airport facilities; assists passengers in the completion of necessary paperwork; assists with foreign language translations; provides a wide range of airport/airline information to passengers; transports elected officials to various locations on airport property; conducts visitor tours; organizes and hosts special events; serves as museum docent; represents LAWA to the public; assists responding agencies during airport emergencies; may plan and supervise the work of other Airport Guides; and does related work.,-,high school,-,-,-,-,-,"experience in a position providing customer service at an airport or other transportation-related venues such as bus terminals, train stations, and port facilities for at least 12 consecutive months. A high school diploma is desired.",-,-,-,-,P,-,-,OPEN,"$31,946 to $44,265",-,04-20-18,"1,040 hours of paid or volunteer experience in a position providing customer service at an airport or other transportation-related venues such as bus terminals, train stations, and port facilities for at least 12 consecutive months. A high school diploma is desired.",-,-
27,AIRPORT INFORMATION SPECIALIST 1783 121115.txt,Airport Information Specialist,1783,1,-,"An Airport Information Specialist provides and/or supervises the provision of information services at Los Angeles World Airports; plans, organizes and coordinates special events for the Department; and does related work.",-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,OPEN_INT_PROM,"$42,991 to $62,869",-,12-11-15,Current employment with the City of Los Angeles; and,-,and
28,AIRPORT INFORMATION SPECIALIST 1783 121115.txt,Airport Information Specialist,1783,2,-,"An Airport Information Specialist provides and/or supervises the provision of information services at Los Angeles World Airports; plans, organizes and coordinates special events for the Department; and does related work.",-,-,-,-,-,Airport Guide Ii,-,-,-,-,-,-,R,-,-,OPEN_INT_PROM,"$42,991 to $62,869",-,12-11-15,"2,080 hours of paid experience as an Airport Guide II; or",-,or
29,AIRPORT INFORMATION SPECIALIST 1783 121115.txt,Airport Information Specialist,1783,3,-,"An Airport Information Specialist provides and/or supervises the provision of information services at Los Angeles World Airports; plans, organizes and coordinates special events for the Department; and does related work.",-,-,-,-,-,Airport Guide I Or Airport Information Aide,-,-,-,-,-,-,R,-,-,OPEN_INT_PROM,"$42,991 to $62,869",-,12-11-15,"4,160 hours of paid experience as an Airport Guide I or Airport Information Aide.",-,-
30,AIRPORT LABOR RELATIONS ADVOCATE 9210 020119.txt,Airport Labor Relations Advocate,9210,1,-,"The Airport Labor Relations Advocate advises senior management on labor relations activities that directly affect operations at the airports by working as liaison with airline employee unions and individual legislators, officials, airline administrators, and leaders of airline employee unions to establish or maintain support for LAWA's (Los Angeles World Airports) position on various issues; advocates legislation that support effective airport operations; informs management of the airport industry labor relations environment, proposals, and actions of employee unions, City, County, State and Federal authorities and agencies; examines effects of proposed legislation to determine the effect on LAWA activities and advise management. Investigates labor related concerns received from the public and recommends resolve.",-,college or university,-,2.0,full time,-,-,"experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions",-,-,-,-,P,-,-,OPEN_INT_PROM,"$93,918 to $137,327",-,02-01-19,"Graduation from an accredited college or university; and two years of full-time paid professional experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions; or",-,or
31,AIRPORT LABOR RELATIONS ADVOCATE 9210 020119.txt,Airport Labor Relations Advocate,9210,2,-,"The Airport Labor Relations Advocate advises senior management on labor relations activities that directly affect operations at the airports by working as liaison with airline employee unions and individual legislators, officials, airline administrators, and leaders of airline employee unions to establish or maintain support for LAWA's (Los Angeles World Airports) position on various issues; advocates legislation that support effective airport operations; informs management of the airport industry labor relations environment, proposals, and actions of employee unions, City, County, State and Federal authorities and agencies; examines effects of proposed legislation to determine the effect on LAWA activities and advise management. Investigates labor related concerns received from the public and recommends resolve.",-,-,-,6.0,full time,-,-,"experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions.",-,-,-,-,P,-,-,OPEN_INT_PROM,"$93,918 to $137,327",-,02-01-19,"Six years of full-time paid experience in private and public sector negotiating and administering labor agreements, recommending negotiation strategies and proposals for workers' unions.",-,-
32,AIRPORT MANAGER 7260 120216.txt,Airport Manager,7260,1,-,"An Airport Manager manages, through subordinate supervisors, the landside transportation, air side operations, construction project management, and maintenance activities at a commercial or general aviation airport; coordinates with law enforcement to maintain security of airport property, buildings, facilities, and airfield; participates in planning and coordinating the use of airport facilities by airport tenants and other concerned organizations; may direct the public and community relations activities at the outlying airport; fulfills Equal Employment Opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.",-,-,-,2.0,full time,Chief Of Operations,-,coordinating airports related expansion or improvement programs or supervising staff involved in the operations or maintenance of an airport,-,-,-,-,P,-,-,OPEN_INT_PROM,"$99,326 to $141,378",-,12-02-16,Two years of full-time paid experience with the City of Los Angeles in a class at the level of Chief of Operations coordinating airports related expansion or improvement programs or supervising staff involved in the operations or maintenance of an airport; or,-,or
33,AIRPORT MANAGER 7260 120216.txt,Airport Manager,7260,2,-,"An Airport Manager manages, through subordinate supervisors, the landside transportation, air side operations, construction project management, and maintenance activities at a commercial or general aviation airport; coordinates with law enforcement to maintain security of airport property, buildings, facilities, and airfield; participates in planning and coordinating the use of airport facilities by airport tenants and other concerned organizations; may direct the public and community relations activities at the outlying airport; fulfills Equal Employment Opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.",-,-,-,2.0,full time,Second-Level Supervisor,-,-,-,-,-,-,P,-,-,OPEN_INT_PROM,"$99,326 to $141,378",-,12-02-16,Two years of full-time paid experience as a second-level supervisor with responsibility for the operations or maintenance of a medium or large hub commercial airport (as defined by the Federal Aviation Administration).,-,-
34,AIRPORT POLICE CAPTAIN 3228 021618.txt,Airport Police Captain,3228,1.,-,"An Airport Police Captain plans, supervises, directs and controls civilian and sworn Airport Police Division employees within a division, section or large tactical group; applies sound management techniques to ensure the mission of the Airport Police Division is met through enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any one of the airports of the City of Los Angeles; and does other related work.",-,-,-,1.0,full time,Airport Police Lieutenant,responsibility for all law enforcement and safety and security services provided at a LAWA facility during a watch or by a particular unit.,-,-,-,-,-,R,-,-,DEPT_PROM,"$142,568 to $187,001",-,02-16-18,"One year of full-time paid experience as an Airport Police Lieutenant with the Los Angeles World Airports, or in a class at that level, with responsibility for all law enforcement and safety and security services provided at a LAWA facility during a watch or by a particular unit.",-,-
35,AIRPORT POLICE LIEUTENANT 3227 091616.txt,Airport Police Lieutenant,3227,1.,-,"An Airport Police Lieutenant plans, supervises, directs and controls employees of the Airport Police Division of the Los Angeles World Airports (LAWA), civilian and sworn, during a specific time period, watch, or in a particular unit; applies sound supervisory and management techniques to ensure the mission of the Airport Police Division of the Los Angeles World Airports is met through the enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any of the four City of Los Angeles airports; and does other related work.",-,-,-,2.0,full time,Airport Police Sergeant,"one year of which must have involved full-time responsibility for the deployment and functioning of law enforcement, safety, and security personnel in the performance of their duties at a Los Angeles World Airports facility.",-,-,-,-,-,R,-,-,INT_DEPT_PROM,"$102,186 to $134,028",-,09-16-16,"Two years of full-time paid experience as an Airport Police Sergeant with the Los Angeles World Airports, or in a class at that level, one year of which must have involved full-time responsibility for the deployment and functioning of law enforcement, safety, and security personnel in the performance of their duties at a Los Angeles World Airports facility.",-,-
36,AIRPORT POLICE OFFICER 3225 110906 Rev 060115.txt,Airport Police Officer,3225,1,-,"An Airport Police Officer is a sworn peace officer, authorized to carry a firearm who enforces federal and state regulations, City of Los Angeles ordinances, and security, traffic, and safety rules and regulations; engages in law enforcement activities, including uniformed foot, vehicle, motorcycle, bicycle patrol and plainclothes assignments, arrest, and report writing at Los Angeles World Airports; provides information to the public regarding locations and operations of the Department; and does related work.",-,-,-,-,-,-,-,-,-,-,-,-,R,-,-,OPEN,"$51,448 to $83,019",-,11-09-06,"21 years of age at the time of hire. However, you may take the written test if you are at least 20 1/2 on the written test date.",-,-
